"","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"30",0.245,0.23,0.175,0.13,0.155,0.185,0.13
"40",0.225,0.255,0.165,0.135,0.19,0.11,0.105
"50",0.28,0.285,0.23,0.185,0.13,0.14,0.125
"60",0.3,0.245,0.195,0.14,0.185,0.15,0.11
"70",0.425,0.27,0.225,0.23,0.2,0.14,0.09
"80",0.425,0.33,0.21,0.26,0.13,0.115,0.135
"90",0.415,0.35,0.185,0.2,0.14,0.145,0.1
"100",0.56,0.39,0.275,0.195,0.17,0.145,0.09
"200",0.81,0.59,0.495,0.35,0.215,0.175,0.12
"300",0.915,0.735,0.61,0.39,0.255,0.14,0.095
"400",0.97,0.9,0.77,0.48,0.325,0.23,0.125
"500",0.98,0.95,0.83,0.635,0.31,0.28,0.125
"600",0.995,0.98,0.855,0.625,0.38,0.26,0.14
"700",1,0.985,0.895,0.68,0.525,0.24,0.105
"800",1,0.985,0.97,0.77,0.495,0.285,0.185
"900",1,1,0.955,0.82,0.55,0.27,0.16
"1000",1,1,0.96,0.855,0.625,0.36,0.11
"2000",1,1,1,0.97,0.695,0.38,0.11
