"","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"30",0.805,0.76,0.68,0.68,0.7,0.55,0.605
"40",0.805,0.775,0.7,0.68,0.64,0.61,0.615
"50",0.86,0.86,0.72,0.775,0.66,0.605,0.6
"60",0.905,0.82,0.745,0.705,0.645,0.635,0.51
"70",0.88,0.82,0.79,0.75,0.695,0.625,0.545
"80",0.855,0.815,0.785,0.735,0.675,0.645,0.595
"90",0.85,0.855,0.82,0.72,0.65,0.675,0.585
"100",0.95,0.885,0.835,0.755,0.685,0.64,0.61
"200",0.98,0.95,0.88,0.845,0.73,0.685,0.62
"300",1,0.99,0.92,0.885,0.84,0.68,0.565
"400",1,0.99,0.975,0.9,0.82,0.645,0.595
"500",1,1,0.985,0.9,0.835,0.68,0.535
"600",1,1,0.975,0.945,0.795,0.635,0.505
"700",1,1,0.99,0.935,0.845,0.705,0.51
"800",1,1,0.99,0.955,0.81,0.685,0.505
"900",1,1,0.99,0.97,0.85,0.73,0.485
"1000",1,1,0.995,0.975,0.91,0.73,0.435
"2000",1,1,1,0.985,0.885,0.615,0.365
